"REF_DATE","GEO","DGUID","Fuel type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","12","","","","0"
"2019-10","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","4","","","","0"
"2020-01","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","1","","","","0"
"2020-04","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","1","","","","0"
"2020-07","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","19","","","","0"
"2020-10","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","3","","","","0"
"2021-01","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","12","","","","0"
"2021-04","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","2","","","","0"
"2021-07","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","72","","","","0"
"2021-10","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","29","","","","0"
"2022-01","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","31","","","","0"
"2022-04","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","32","","","","0"
"2022-07","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","62","","","","0"
"2022-10","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","40","","","","0"
"2023-01","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units","0","v1271719140","3.4.1.1","48","","","","0"
